Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24
x,7,4,7,8,8,8,8,x,5,5,5,x(10),9,5,7,4,5,3,7,7,9,2,9.5
x,7,7,7,8,9,8,9,8,6,3,6,11,8,12,7,7,7,7,7,6,9,6,9.5
x,7,7,7,8,9,8,7,7,7,7,7,10,9,12,8,7,7,7,7,8,9,7,9.5
x,7,7,7,8,9,8,8,6,7,6,7,10,9,9,8,7,7,7,7,7,9,7,9.5
x,7,7,7,7,9,8,8,6.5,3,7,7,9,8,13,7,7,7,7,7,8,9,6,9.5
x,7,7,7,8,9,8,7,7,7,5,5,11,9,10,7,x(0),7,7,7,7,9,6,9.5
x,13,7,10,8,9,8,9,11,10,8,6,10,9,11,7,10,13,8,9,7,9,6,7.5
x,10,8,10,8,9,8,8,9,9,9,9,11,9,12,8,10,13,10,9,9,10,7,9.25
x,9,8,9,8,9.5,8,9,8,9,8,9,10,10,13,8,10,13,11,9,9,11,7,9.5
x,9,9,9,9,9,13,7,9,9,9,9,9,10,13,8,x(0),13,12,9,10,11,8,9.5
x,9,9,9,9,9.5,13,8,9,9,9,9,11,10,12,7,11,13,11,10,9,11,8,5
x,9,9,8,9,9,13,9,9,9,10,9,13,10,13,9,11,13,12,9,9,12,7,9.5
