Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24
NA,2,1,1,1,1,1,2,NA,2,3,1,NA,2,2,2,1,2,1,1,2,2,1,1
NA,3,2,1,2,1,1,2,2,3,1,1,1,2,3,2,1,3,2,1,1,2,1,1
NA,1,3,1,2,1,1,2,2,3,3,1,2,2,1,2,3,2,2,1,3,2,1,1
NA,2,1,1,3,1,1,3,2,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1
NA,1,2,1,3,1,1,2,3,3,3,1,3,2,2,2,2,3,3,1,3,2,1,2
NA,3,2,3,3,1,1,2,2,3,2,1,1,2,1,2,2,2,3,1,3,2,1,1
NA,2,2,2,1,1,1,2,2,3,2,1,1,2,2,1,1,3,2,1,2,2,1,3
NA,1,2,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,2,1,3,2,1,1
NA,1,1,2,1,1,1,2,2,3,2,1,2,2,2,3,2,3,3,1,3,2,1,1
NA,2,2,2,3,1,3,2,2,3,3,1,2,2,2,2,2,3,3,1,2,2,1,1
NA,1,1,2,1,1,3,2,2,3,2,1,1,2,2,1,2,3,3,1,2,2,1,2
NA,1,3,2,2,1,3,2,2,1,2,1,2,2,2,2,3,3,3,1,2,2,1,1
